pr_id,pr_number,title,agent,user,state,created_at,merged_at,repo_url,total_additions,total_deletions,total_changes,files_touched,num_commits,net_change,churn_ratio,size_category
3264933329,2911,Fix: Wait for all partitions in load_collection when some are still loading,Claude_Code,weiliu1031,closed,2025-07-26T02:59:01Z,,https://api.github.com/repos/milvus-io/pymilvus,394,2,396,3,1,392,0.005076142131979695,M
3265118634,2,ファイルパス参照を相対パスに統一し、doc/からdocs/に統一,Claude_Code,cm-kojimat,closed,2025-07-26T04:56:55Z,2025-07-26T22:12:24Z,https://api.github.com/repos/classmethod/tsumiki,38,38,76,11,1,0,1.0,S
3265640341,30,Add build staleness detection for debug CLI,Claude_Code,MSch,closed,2025-07-26T13:31:19Z,2025-07-26T13:37:22Z,https://api.github.com/repos/steipete/Peekaboo,298,109,407,5,6,189,0.36577181208053694,M
3265709660,205,feat: add comprehensive README screenshots with optimized layout,Claude_Code,sugyan,closed,2025-07-26T14:07:22Z,2025-07-26T14:45:30Z,https://api.github.com/repos/sugyan/claude-code-webui,288,12,300,15,3,276,0.041666666666666664,M
3265782173,17625,chore: remove HashedPostStateProvider trait,Claude_Code,adust09,open,2025-07-26T15:02:48Z,,https://api.github.com/repos/paradigmxyz/reth,53,168,221,21,1,-115,3.169811320754717,S
3231949586,32656,feat(swagger): Add Swagger annotations to Batch 1 - Core Authentication & User Management,Claude_Code,spbolton,open,2025-07-15T11:46:41Z,,https://api.github.com/repos/dotCMS/core,2702,545,3247,25,1,2157,0.20170244263508513,XL
3231950376,32657,feat(swagger): Add Swagger annotations to Batch 2 - Content Management Core,Claude_Code,spbolton,open,2025-07-15T11:46:57Z,,https://api.github.com/repos/dotCMS/core,12061,1827,13888,157,7,10234,0.1514799767846779,XL
3231951012,32658,feat: add Swagger annotations to Batch 3 - Site Architecture & Templates,Claude_Code,spbolton,open,2025-07-15T11:47:12Z,,https://api.github.com/repos/dotCMS/core,20084,3822,23906,171,8,16262,0.190300736904999,XL
3231951656,32659,feat: add Swagger annotations to Batch 4 - System Administration,Claude_Code,spbolton,open,2025-07-15T11:47:27Z,,https://api.github.com/repos/dotCMS/core,22886,4176,27062,186,9,18710,0.18246963208948702,XL
3231952364,32660,feat: add Swagger annotations to Batch 5 - Publishing & Distribution,Claude_Code,spbolton,open,2025-07-15T11:47:43Z,,https://api.github.com/repos/dotCMS/core,25394,4826,30220,198,10,20568,0.19004489249429,XL
3231953027,32661,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,Claude_Code,spbolton,open,2025-07-15T11:47:59Z,,https://api.github.com/repos/dotCMS/core,28867,5136,34003,214,7,23731,0.1779194235632383,XL
3231953757,32662,feat: add Swagger annotations to Batch 7 - Modern APIs & Specialized Services,Claude_Code,spbolton,open,2025-07-15T11:48:16Z,,https://api.github.com/repos/dotCMS/core,34297,6213,40510,231,8,28084,0.181152870513456,XL
3231954470,32663,feat: add Swagger annotations to Batch 8 - Legacy & Utility Resources,Claude_Code,spbolton,open,2025-07-15T11:48:32Z,,https://api.github.com/repos/dotCMS/core,36848,6613,43461,244,9,30235,0.17946699956578377,XL
3231955292,32664,feat: finalize Swagger annotations implementation - Batch 9 cleanup,Claude_Code,spbolton,open,2025-07-15T11:48:51Z,,https://api.github.com/repos/dotCMS/core,36848,6699,43547,248,10,30149,0.18180091185410335,XL
3232028428,24,Win-build-improvements,Claude_Code,Alexbeav,open,2025-07-15T12:14:21Z,,https://api.github.com/repos/alariq/mc2,798,451,1249,5,5,347,0.5651629072681704,L
3232844270,359,feat: Implement asymmetric VMEC support (lasym=true),Claude_Code,krystophny,open,2025-07-15T16:02:35Z,,https://api.github.com/repos/proximafusion/vmecpp,6520,1578,8098,41,30,4942,0.2420245398773006,XL
3234102722,318,chore: Convert hive-mind coordination system to TypeScript,Claude_Code,lanemc,closed,2025-07-16T01:00:34Z,,https://api.github.com/repos/ruvnet/claude-flow,13214,2497,15711,94,5,10717,0.18896624791887393,XL
3212961701,113,fix: Add missing logger.js and resolve MCP server issues (v1.0.17),Claude_Code,ruvnet,closed,2025-07-08T15:26:38Z,,https://api.github.com/repos/ruvnet/ruv-FANN,20716,1304,22020,121,2,19412,0.06294651477119136,XL
3214555104,16658,Add function signature breaking change detector,Claude_Code,harupy,closed,2025-07-09T05:35:26Z,2025-07-11T05:13:35Z,https://api.github.com/repos/mlflow/mlflow,620,0,620,3,1,620,0.0,L
3214724259,5489,feat: add comprehensive test coverage for forms plugin,Claude_Code,wtfsayo,closed,2025-07-09T06:43:46Z,2025-07-09T06:44:01Z,https://api.github.com/repos/elizaOS/eliza,1013,340,1353,6,4,673,0.33563672260612043,XL
3214782537,1538,Major Architecture Refactor - Configuration System Overhaul with RSFC Integration,Claude_Code,delano,closed,2025-07-09T07:05:44Z,2025-07-17T18:34:41Z,https://api.github.com/repos/onetimesecret/onetimesecret,1725,1103,2828,64,30,622,0.6394202898550725,XL
